method_1,direction_1,model_1,method_2,direction_2,model_2,input_id
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,173
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,357
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,366
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,497
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,970
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,479
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,141
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,195
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,682
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,27
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,179
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,681
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,704
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,462
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,240
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,857
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,989
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,426
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,697
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,550
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,680
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,841
gold,tgt,full_gpt-4o-mini,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,775
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,662
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,886
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,767
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,562
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,299
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,167
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,579
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,872
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,909
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,22
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,952
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,927
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,804
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,972
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,329
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,282
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,662
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,854
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,944
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,828
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,784
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,352
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,187
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,146
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,547
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,481
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,619
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,844
gold,src,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,720
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,363
gold,tgt,full_gpt-4o-mini,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,399
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,109
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,612
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,451
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,700
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,938
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,268
gold,tgt,full_gpt-4o-mini,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,141
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,644
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,770
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,406
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,585
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,150
gold,tgt,full_gpt-4o-mini,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,241
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,934
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,814
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,990
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,5
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,680
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,464
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,17
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,543
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,975
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,395
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,944
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,625
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,471
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,318
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,421
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,792
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,907
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,21
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,409
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,955
gold,tgt,full_gpt-4o-mini,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,856
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,40
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,623
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,470
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,609
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,765
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,9
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,59
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,243
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,39
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,149
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,232
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,888
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,489
gold,tgt,full_gpt-4o-mini,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,68
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,785
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,474
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,46
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,808
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,366
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,309
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,350
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,700
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,473
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,716
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,996
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,977
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,958
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,563
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,514
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,212
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,963
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,377
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,201
gold,src,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,773
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,229
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,570
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,61
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,890
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,721
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,299
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,475
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,972
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,781
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,475
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,575
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,942
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,917
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,988
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,256
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,892
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,274
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,531
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,75
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,910
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,163
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,758
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,666
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,404
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,564
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,574
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,749
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,895
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,759
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,281
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,267
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,365
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,842
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,757
gold,src,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,837
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,623
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,645
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,275
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,66
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,820
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,71
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,856
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,257
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,316
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,193
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,434
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,755
gold,src,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,111
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,68
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,843
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,739
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,693
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,879
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,95
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,897
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,139
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,277
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,237
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,919
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,779
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,783
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,137
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,359
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,414
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,348
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,607
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,643
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,162
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,875
gold,tgt,full_gpt-4o-mini,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,675
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,637
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,773
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,771
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,706
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,106
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,330
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,551
gold,src,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,381
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,246
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,681
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,777
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,282
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,171
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,440
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,453
gold,src,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,72
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,863
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,211
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,760
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,938
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,988
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,839
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,750
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,912
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,423
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,244
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,341
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,841
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,491
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,599
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,218
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,823
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,341
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,885
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,595
gold,src,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,112
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,129
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,786
gold,src,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,900
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,357
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,222
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,573
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,647
gold,src,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,118
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,720
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,569
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,127
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,145
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,480
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,784
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,315
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,227
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,196
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,671
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,883
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,345
gold,tgt,full_gpt-4o-mini,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,641
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,669
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,595
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,190
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,44
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,763
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,196
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,433
gold,tgt,full_gpt-4o-mini,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,492
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,127
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,715
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,545
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,518
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,459
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,55
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,965
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,41
